year,month,icd10_code,icd10_desc,value
2009,Mai,F10-F19,Psychische und Verhaltensstörungen durch psychotrope Substanzen,478
2009,Mai,F10,Psychische und Verhaltensstörungen durch Alkohol,389
2009,Mai,G00-G99,KAPITEL VI: Krankheiten des Nervensystems,1575
2009,Mai,I00-I99,KAPITEL IX: Krankheiten des Kreislaufsystems,28127
2009,Mai,I10-I15,Hypertonie (Hochdruckkrankheit),2350
2009,Mai,I20-I25,Ischämische Herzkrankheiten,10648
2009,Mai,I21,Akuter Myokardinfarkt,4358
2009,Mai,I22,Rezidivierender Myokardinfarkt,302
2009,Mai,I30-I52,Sonstige Formen der Herzkrankheit,7300
2009,Mai,I60-I69,Zerebrovaskuläre Krankheiten,5019
2009,Mai,I64,"Schlaganfall, nicht als Blutung oder Infarkt bez.",2040
2009,Mai,I70-I79,"Krankheiten der Arterien, Arteriolen und Kapillaren",1621
2009,Mai,J00-J99,KAPITEL X: Krankheiten des Atmungssystems,4588
2009,Mai,J00-J06,Akute Infektionen der oberen Atemwege,9
2009,Mai,J10-J18,Grippe und Pneumonie,1588
2009,Mai,J10,Grippe durch nachgewiesene Influenzaviren,1
2009,Mai,J11,"Grippe, Viren nicht nachgewiesen",0
2009,Mai,J20-J22,Sonstige akute Infektionen der unteren Atemwege,50
2009,Mai,J40-J47,Chronische Krankheiten der unteren Atemwege,2132
2009,Mai,K00-K93,KAPITEL XI: Krankheiten des Verdauungssystems,3480
2009,Mai,K70-K77,Krankheiten der Leber,1221
2009,Mai,N00-N99,KAPITEL XIV: Krankheiten des Urogenitalsystems,1534
2009,Mai,O00-O99,"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett",5
2009,Mai,P00-P96,"KAPITEL XVI: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",119
2009,Mai,Q00-Q99,"KAPITEL XVII: Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",152
2009,Mai,R00-R99,"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind",1848
2009,Mai,R95,Plötzlicher Kindstod,18
2009,Mai,S00-T98,"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",2685
2009,Mai,S00-S09,Verletzungen des Kopfes,564
2009,Mai,S70-S79,Verletzungen der Hüfte und des Oberschenkels,293
2009,Mai,T00-T07,Verletzungen mit Beteiligung mehrerer Körperregionen,405
2009,Mai,T20-T32,Verbrennungen oder Verätzungen,28
2009,Mai,T33-T35,Erfrierungen,0
2009,Mai,T51-T65,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,95
2009,Mai,T66-T78,Sonstige und n.n.bez. Schäden durch äußere Ursachen,604
2009,Mai,V01-V99,Transportmittelunfälle,433
2009,Mai,W00-W19,Stürze,633
2009,Mai,W65-W74,Unfälle durch Ertrinken und Untergehen,48
2009,Mai,X60-X84,Vorsätzliche Selbstbeschädigung,853
2009,Mai,X85-Y09,Tätlicher Angriff,33
2009,Mai,Y10-Y34,"Ereignis, dessen nähere Umstände unbestimmt sind",217
2009,Jun,Insgesamt,Insgesamt,64887
2009,Jun,A00-B99,KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten,1149
2009,Jun,A00-A09,Infektiöse Darmkrankheiten,177
2009,Jun,A15-A19,Tuberkulose,16
2009,Jun,B15-B19,Virushepatitis,53
2009,Jun,B20-B24,HIV-Krankheit (Humane Immundefizienz-Viruskrankheit),40
2009,Jun,C00-D48,KAPITEL II: Neubildungen,17957
2009,Jun,C00-C97,Bösartige Neubildungen,17501
2009,Jun,C15-C26,Bösartige Neubildungen der Verdauungsorgane,5691
2009,Jun,C30-C39,Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe,3462
2009,Jun,C43-C44,Melanom und sonstige bösartige Neubildungen der Haut,276
2009,Jun,C50,Bösartige Neubildung der Brustdrüse,1403
2009,Jun,C51-C58,Bösartige Neubildungen der weiblichen Genitalorgane,915
2009,Jun,C60-C63,Bösartige Neubildungen der männlichen Genitalorgane,1033
2009,Jun,C64-C68,Bösartige Neubildungen der Harnorgane,1036
2009,Jun,C81-C96,"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes",1335
2009,Jun,D50-D89,KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,191
2009,Jun,E00-E90,"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten",2116
2009,Jun,E10-E14,Diabetes mellitus,1703
2009,Jun,F00-F99,KAPITEL V: Psychische und Verhaltensstörungen,1651
2009,Jun,F10-F19,Psychische und Verhaltensstörungen durch psychotrope Substanzen,451
2009,Jun,F10,Psychische und Verhaltensstörungen durch Alkohol,369
2009,Jun,G00-G99,KAPITEL VI: Krankheiten des Nervensystems,1580
2009,Jun,I00-I99,KAPITEL IX: Krankheiten des Kreislaufsystems,26698
2009,Jun,I10-I15,Hypertonie (Hochdruckkrankheit),2222
2009,Jun,I20-I25,Ischämische Herzkrankheiten,10167
2009,Jun,I21,Akuter Myokardinfarkt,4122
2009,Jun,I22,Rezidivierender Myokardinfarkt,296
2009,Jun,I30-I52,Sonstige Formen der Herzkrankheit,6955
2009,Jun,I60-I69,Zerebrovaskuläre Krankheiten,4705
2009,Jun,I64,"Schlaganfall, nicht als Blutung oder Infarkt bez.",1873
2009,Jun,I70-I79,"Krankheiten der Arterien, Arteriolen und Kapillaren",1563
2009,Jun,J00-J99,KAPITEL X: Krankheiten des Atmungssystems,4191
2009,Jun,J00-J06,Akute Infektionen der oberen Atemwege,1
2009,Jun,J10-J18,Grippe und Pneumonie,1478
2009,Jun,J10,Grippe durch nachgewiesene Influenzaviren,0
2009,Jun,J11,"Grippe, Viren nicht nachgewiesen",0
2009,Jun,J20-J22,Sonstige akute Infektionen der unteren Atemwege,52
2009,Jun,J40-J47,Chronische Krankheiten der unteren Atemwege,1926
2009,Jun,K00-K93,KAPITEL XI: Krankheiten des Verdauungssystems,3259
2009,Jun,K70-K77,Krankheiten der Leber,1217
2009,Jun,N00-N99,KAPITEL XIV: Krankheiten des Urogenitalsystems,1362
2009,Jun,O00-O99,"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett",2
2009,Jun,P00-P96,"KAPITEL XVI: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",102
2009,Jun,Q00-Q99,"KAPITEL XVII: Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",104
2009,Jun,R00-R99,"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind",1769
2009,Jun,R95,Plötzlicher Kindstod,14
2009,Jun,S00-T98,"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",2471
2009,Jun,S00-S09,Verletzungen des Kopfes,490
2009,Jun,S70-S79,Verletzungen der Hüfte und des Oberschenkels,256
2009,Jun,T00-T07,Verletzungen mit Beteiligung mehrerer Körperregionen,358
2009,Jun,T20-T32,Verbrennungen oder Verätzungen,28
2009,Jun,T33-T35,Erfrierungen,0
2009,Jun,T51-T65,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,69
2009,Jun,T66-T78,Sonstige und n.n.bez. Schäden durch äußere Ursachen,516
2009,Jun,V01-V99,Transportmittelunfälle,388
2009,Jun,W00-W19,Stürze,574
2009,Jun,W65-W74,Unfälle durch Ertrinken und Untergehen,46
2009,Jun,X60-X84,Vorsätzliche Selbstbeschädigung,773
2009,Jun,X85-Y09,Tätlicher Angriff,37
2009,Jun,Y10-Y34,"Ereignis, dessen nähere Umstände unbestimmt sind",223
2009,Jul,Insgesamt,Insgesamt,66275
